"Cost per minute in IDR on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,Rp,"50,001","250,000",Tier rate,134.2
,Rp,"250,001","1,000,000",Tier rate,115.6
,Rp,"1,000,001","2,500,000",Tier rate,98.5
,Rp,"2,500,001","5,000,000",Tier rate,74.2
,Rp,"5,000,001",--,Tier rate,62.8
Rest of Central & Eastern Europe,Rp,,"50,000",List rate,135.6
,Rp,"50,001","250,000",Tier rate,108.5
,Rp,"250,001","1,000,000",Tier rate,94.2
,Rp,"1,000,001","2,500,000",Tier rate,82.8
,Rp,"2,500,001","5,000,000",Tier rate,61.4
,Rp,"5,000,001",--,Tier rate,52.8
Rest of Latin America,Rp,,"50,000",List rate,165.6
,Rp,"50,001","250,000",Tier rate,135.6
,Rp,"250,001","1,000,000",Tier rate,117
,Rp,"1,000,001","2,500,000",Tier rate,99.9
,Rp,"2,500,001","5,000,000",Tier rate,68.5
,Rp,"5,000,001",--,Tier rate,67.1
Rest of Middle East,Rp,,"50,000",List rate,181.3
,Rp,"50,001","250,000",Tier rate,152.7
,Rp,"250,001","1,000,000",Tier rate,128.4
,Rp,"1,000,001","2,500,000",Tier rate,97
,Rp,"2,500,001","5,000,000",Tier rate,78.5
,Rp,"5,000,001",--,Tier rate,71.4
Rest of Western Europe,Rp,,"50,000",List rate,147
,Rp,"50,001","250,000",Tier rate,119.9
,Rp,"250,001","1,000,000",Tier rate,105.6
,Rp,"1,000,001","2,500,000",Tier rate,88.5
,Rp,"2,500,001","5,000,000",Tier rate,78.5
,Rp,"5,000,001",--,Tier rate,67.1
Other,Rp,,"50,000",List rate,188.4
,Rp,"50,001","250,000",Tier rate,161.3
,Rp,"250,001","1,000,000",Tier rate,137
,Rp,"1,000,001","2,500,000",Tier rate,118.5
,Rp,"2,500,001","5,000,000",Tier rate,108.5
,Rp,"5,000,001",--,Tier rate,102.8
